,personid,quitjob,age,costofcommute,children,expgroup,men,married,perform10,perform11,perform10_expgroup,perform11_expgroup
135,35344,0.0,22.0,5.0,no,1,0.0,0.0,0.43649644,0.8148389,0.43649644,0.8148389
136,35408,1.0,27.0,10.0,yes,0,1.0,1.0,0.4941864,0.031334266,0.0,0.0
137,35822,1.0,27.0,6.0,no,0,1.0,0.0,-0.7184387,-0.88425016,0.0,0.0
138,36032,0.0,22.0,8.0,no,1,1.0,0.0,-0.05893892,0.13502891,-0.05893892,0.13502891
139,36288,0.0,25.0,0.0,no,0,1.0,0.0,0.41313937,-0.1407827,0.0,0.0
140,36306,0.0,26.0,6.0,no,1,1.0,0.0,-0.6215266,-0.067680255,-0.6215266,-0.067680255
141,36314,0.0,23.0,4.0,no,0,1.0,0.0,0.51428294,0.6280993,0.0,0.0
142,36494,1.0,23.0,6.0,no,1,0.0,0.0,-0.71516055,-0.58423626,-0.71516055,-0.58423626
143,36908,0.0,23.0,8.0,no,1,1.0,0.0,0.36568537,0.39339125,0.36568537,0.39339125
144,37276,1.0,22.0,5.0,no,0,0.0,0.0,0.003661253,-0.977698,0.0,0.0
145,37292,0.0,21.0,10.0,no,0,0.0,0.0,0.014250415,-0.19934969,0.0,0.0
146,37294,0.0,20.0,0.0,no,1,0.0,0.0,-0.03769717,0.42096213,-0.03769717,0.42096213
147,37296,1.0,29.0,3.0,no,1,1.0,0.0,-0.1201145,-0.5861547,-0.1201145,-0.5861547
148,37784,0.0,19.0,2.0,no,1,0.0,0.0,0.37780115,0.08423348,0.37780115,0.08423348
149,37798,0.0,21.0,0.0,no,0,1.0,0.0,-0.047367483,-0.58798313,0.0,0.0
150,37804,1.0,21.0,4.0,no,1,0.0,0.0,-0.023898713,-1.1502749,-0.023898713,-1.1502749
151,37812,0.0,26.0,12.0,no,0,0.0,0.0,0.40975997,-0.04509231,0.0,0.0
152,37828,0.0,23.0,10.0,no,0,1.0,0.0,-0.37779152,-0.4915036,0.0,0.0
153,37840,1.0,18.0,0.0,no,1,1.0,0.0,-0.20379853,-0.34314063,-0.20379853,-0.34314063
154,38018,0.0,25.0,4.0,no,1,0.0,0.0,0.12782851,-0.7938605,0.12782851,-0.7938605
155,38022,1.0,18.0,0.0,no,1,0.0,0.0,-0.06589323,-0.67551327,-0.06589323,-0.67551327
156,38028,0.0,21.0,2.0,no,1,1.0,0.0,1.2408035,1.590185,1.2408035,1.590185
157,38036,1.0,18.0,10.0,no,0,1.0,0.0,-0.7972139,-1.5239298,0.0,0.0
158,38038,0.0,35.0,0.0,yes,1,1.0,1.0,-0.06268669,-0.32754755,-0.06268669,-0.32754755
159,38040,0.0,22.0,8.0,no,1,0.0,1.0,0.15841934,0.086254135,0.15841934,0.086254135
160,38042,0.0,20.0,10.0,no,1,0.0,0.0,-0.49006405,-0.9351017,-0.49006405,-0.9351017
161,38046,0.0,21.0,10.0,no,0,0.0,0.0,-0.37941298,-0.68866265,0.0,0.0
