,surveyno,satisfaction,general,life,personid,expgroup_treatment
221,2,6,89,34,19482,1.0
222,3,7,98,34,19482,1.0
223,4,7,97,32,19482,1.0
224,5,7,99,35,19482,1.0
225,1,3,65,16,21604,0.0
226,2,1,53,16,21604,0.0
227,3,2,52,18,21604,0.0
228,4,5,56,20,21604,0.0
229,5,4,54,28,21604,0.0
230,1,5,74,26,21648,0.0
231,2,5,71,23,21648,0.0
232,3,5,72,23,21648,0.0
233,4,5,60,16,21648,0.0
234,5,4,64,12,21648,0.0
235,1,5,74,29,21654,0.0
236,2,6,78,30,21654,1.0
237,3,6,70,31,21654,1.0
238,4,5,76,35,21654,1.0
239,5,5,75,36,21654,1.0
240,1,4,66,16,21710,0.0
241,2,6,85,26,21710,1.0
242,3,6,87,30,21710,1.0
243,4,6,96,29,21710,1.0
244,5,5,82,26,21710,1.0
245,1,3,76,12,22284,0.0
246,2,6,81,30,22284,1.0
247,3,5,78,14,22284,1.0
248,4,2,72,16,22284,1.0
249,5,3,72,17,22284,1.0
250,1,5,90,31,23126,0.0
251,2,6,87,27,23126,0.0
252,3,6,87,24,23126,0.0
253,4,5,89,26,23126,0.0
254,5,6,85,22,23126,0.0
255,1,3,62,8,23136,0.0
256,2,3,39,10,23136,1.0
257,3,3,45,10,23136,1.0
258,4,4,62,13,23136,1.0
259,5,5,54,12,23136,1.0
260,1,5,82,28,23228,0.0
261,2,5,87,23,23228,1.0
262,3,6,83,21,23228,1.0
263,4,6,89,27,23228,1.0
264,5,7,90,27,23228,1.0
265,1,6,63,17,23622,0.0
266,2,1,48,13,23622,1.0
267,3,2,47,23,23622,1.0
268,4,4,60,20,23622,1.0
269,5,1,60,22,23622,1.0
270,1,5,80,24,23742,0.0
271,2,7,96,26,23742,0.0
272,3,6,91,29,23742,0.0
273,4,5,89,25,23742,0.0
274,5,7,91,28,23742,0.0
275,1,5,64,22,23772,0.0
276,2,5,75,20,23772,1.0
277,3,5,69,19,23772,1.0
278,4,4,74,26,23772,1.0
279,5,6,69,27,23772,1.0
280,1,5,80,28,24142,0.0
281,2,6,80,32,24142,1.0
282,3,6,80,34,24142,1.0
283,4,6,80,26,24142,1.0
284,5,6,79,24,24142,1.0
285,1,5,83,30,24146,0.0
286,2,1,87,38,24146,0.0
287,3,7,83,30,24146,0.0
288,4,7,86,26,24146,0.0
289,5,3,88,18,24146,0.0
290,1,5,66,22,24608,0.0
291,2,6,82,30,24608,1.0
292,3,2,81,30,24608,1.0
293,4,7,81,30,24608,1.0
294,5,6,80,28,24608,1.0
295,1,3,61,18,25258,0.0
296,2,5,66,26,25258,0.0
297,3,5,75,22,25258,0.0
298,4,5,71,26,25258,0.0
299,5,5,69,24,25258,0.0
300,1,6,80,20,25520,0.0
301,2,6,76,25,25520,1.0
302,3,5,72,17,25520,1.0
303,4,4,71,16,25520,1.0
304,5,5,71,20,25520,1.0
305,1,3,62,10,25532,0.0
306,2,5,57,10,25532,1.0
307,3,4,62,4,25532,1.0
308,4,3,53,12,25532,1.0
309,5,6,50,16,25532,1.0
310,1,1,67,18,25628,0.0
311,2,2,53,13,25628,1.0
312,3,1,58,16,25628,1.0
313,4,6,62,18,25628,1.0
314,5,3,57,12,25628,1.0
315,1,5,75,21,25638,0.0
316,2,6,72,26,25638,1.0
317,3,6,72,25,25638,1.0
318,4,6,75,30,25638,1.0
319,5,5,74,31,25638,1.0
320,1,3,75,32,25700,0.0
321,2,6,74,34,25700,1.0
322,3,5,76,26,25700,1.0
323,4,5,73,21,25700,1.0
324,5,5,71,29,25700,1.0
325,1,7,87,33,25864,0.0
326,2,7,74,28,25864,0.0
327,3,5,100,28,25864,0.0
328,4,6,73,25,25864,0.0
329,5,5,59,17,25864,0.0
330,1,6,84,30,25940,0.0
331,2,6,81,36,25940,1.0
332,3,5,73,32,25940,1.0
333,4,5,73,30,25940,1.0
334,5,6,70,30,25940,1.0
335,1,4,66,11,25962,0.0
336,2,5,64,26,25962,1.0
337,3,4,65,9,25962,1.0
338,4,5,60,15,25962,1.0
339,5,5,64,13,25962,1.0
340,1,5,77,25,26328,0.0
341,2,4,59,18,26328,1.0
342,3,5,76,23,26328,1.0
343,4,5,78,24,26328,1.0
344,5,4,79,20,26328,1.0
345,1,4,71,14,26618,0.0
346,2,4,79,20,26618,1.0
347,3,6,80,30,26618,1.0
348,4,5,78,30,26618,1.0
349,5,5,80,26,26618,1.0
350,1,4,67,13,27704,0.0
351,2,4,71,12,27704,0.0
352,3,4,55,10,27704,0.0
353,4,4,74,18,27704,0.0
354,5,5,60,14,27704,0.0
355,1,5,79,12,28190,0.0
356,2,4,66,12,28190,0.0
357,3,3,58,10,28190,0.0
358,4,4,76,20,28190,0.0
359,5,5,76,16,28190,0.0
360,1,4,57,10,28224,0.0
361,2,2,56,8,28224,0.0
362,3,3,52,6,28224,0.0
363,4,3,54,7,28224,0.0
364,5,5,53,5,28224,0.0
365,1,5,97,31,28226,0.0
366,2,6,100,33,28226,1.0
367,3,7,100,36,28226,1.0
368,4,6,100,36,28226,1.0
369,5,6,88,34,28226,1.0
370,1,4,64,20,28470,0.0
371,2,6,64,20,28470,1.0
372,3,5,57,22,28470,1.0
373,4,4,52,22,28470,1.0
374,5,5,63,21,28470,1.0
375,1,6,70,30,28492,0.0
376,2,6,78,25,28492,1.0
377,3,7,87,28,28492,1.0
378,4,6,84,25,28492,1.0
379,5,6,88,22,28492,1.0
380,1,5,78,30,29032,0.0
381,2,7,84,27,29032,1.0
382,3,6,78,28,29032,1.0
383,4,6,89,31,29032,1.0
384,5,7,80,28,29032,1.0
385,1,4,79,24,29172,0.0
386,2,6,85,26,29172,0.0
387,3,4,79,20,29172,0.0
388,4,4,81,28,29172,0.0
389,5,7,96,28,29172,0.0
390,1,5,73,16,29216,0.0
391,2,7,91,23,29216,1.0
392,3,1,98,27,29216,1.0
393,4,7,100,32,29216,1.0
394,5,7,73,21,29216,1.0
395,1,5,67,18,29248,0.0
396,2,3,60,13,29248,0.0
397,3,5,64,20,29248,0.0
398,4,4,60,20,29248,0.0
399,5,4,60,20,29248,0.0
400,1,3,71,28,29996,0.0
401,2,5,75,25,29996,0.0
402,3,6,68,20,29996,0.0
403,4,4,60,22,29996,0.0
404,5,3,67,18,29996,0.0
405,1,2,70,10,30006,0.0
406,2,6,75,7,30006,1.0
407,3,5,74,11,30006,1.0
408,4,5,67,11,30006,1.0
409,5,5,67,8,30006,1.0
410,1,5,84,28,30014,0.0
411,2,7,81,22,30014,1.0
412,3,5,88,24,30014,1.0
413,4,6,90,24,30014,1.0
414,5,7,81,20,30014,1.0
415,1,4,76,23,30308,0.0
416,2,4,73,30,30308,1.0
417,3,4,70,20,30308,1.0
418,4,3,74,28,30308,1.0
419,5,4,81,22,30308,1.0
420,1,4,68,11,30972,0.0
421,2,5,60,18,30972,1.0
422,3,5,57,12,30972,1.0
423,4,3,65,16,30972,1.0
424,5,3,63,16,30972,1.0
425,1,6,85,30,31136,0.0
426,2,6,80,34,31136,0.0
427,3,5,81,22,31136,0.0
428,4,7,82,29,31136,0.0
429,5,7,100,27,31136,0.0
430,1,6,88,27,31230,0.0
431,2,6,80,33,31230,1.0
432,3,1,87,27,31230,1.0
433,4,4,81,21,31230,1.0
434,5,3,78,25,31230,1.0
435,1,4,55,13,31292,0.0
436,2,5,74,13,31292,1.0
437,3,5,79,17,31292,1.0
438,4,6,82,17,31292,1.0
439,5,5,68,10,31292,1.0
440,1,5,76,26,31796,0.0
441,2,5,75,31,31796,1.0
442,3,5,76,29,31796,1.0
443,4,5,65,27,31796,1.0
444,5,5,64,22,31796,1.0
445,1,6,85,30,31888,0.0
446,2,5,72,30,31888,0.0
447,3,6,79,28,31888,0.0
448,4,5,82,26,31888,0.0
449,5,6,84,30,31888,0.0
450,1,4,68,20,31936,0.0
451,2,5,71,15,31936,1.0
452,3,6,91,22,31936,1.0
453,4,7,82,18,31936,1.0
454,5,7,81,18,31936,1.0
455,1,3,73,19,32590,0.0
456,2,4,80,26,32590,1.0
457,3,5,77,20,32590,1.0
458,4,5,79,21,32590,1.0
459,5,5,80,20,32590,1.0
460,1,7,100,32,33128,0.0
461,2,1,33,2,33128,0.0
462,3,6,62,20,33128,0.0
463,4,1,55,12,33128,0.0
464,5,5,81,26,33128,0.0
465,1,5,76,29,33278,0.0
466,2,5,67,25,33278,0.0
467,3,4,70,23,33278,0.0
468,4,4,58,20,33278,0.0
469,5,4,65,24,33278,0.0
470,1,4,75,22,33350,0.0
471,2,6,80,14,33350,1.0
472,3,5,76,20,33350,1.0
473,4,6,75,18,33350,1.0
474,5,3,86,18,33350,1.0
475,1,4,78,34,33354,0.0
476,2,5,76,28,33354,0.0
477,3,5,78,21,33354,0.0
478,4,4,77,28,33354,0.0
479,5,4,72,13,33354,0.0
480,1,4,89,16,35344,0.0
481,2,6,93,30,35344,1.0
482,3,6,91,30,35344,1.0
483,4,6,75,7,35344,1.0
484,5,7,91,31,35344,1.0
485,1,5,64,20,35408,0.0
486,2,5,67,20,35408,0.0
487,3,2,60,20,35408,0.0
488,4,3,60,20,35408,0.0
489,5,1,60,18,35408,0.0
490,1,4,64,12,36032,0.0
491,2,6,60,17,36032,1.0
492,3,1,100,26,36032,1.0
493,4,7,81,28,36032,1.0
494,5,7,80,23,36032,1.0
495,1,5,69,16,36288,0.0
496,2,4,67,23,36288,0.0
497,3,3,66,14,36288,0.0
498,4,4,71,16,36288,0.0
499,5,4,60,21,36288,0.0
500,1,4,90,26,36306,0.0
501,2,5,78,21,36306,1.0
502,3,4,64,25,36306,1.0
503,4,6,43,22,36306,1.0
504,5,5,56,17,36306,1.0
505,1,5,78,18,36314,0.0
506,2,6,81,30,36314,0.0
507,3,5,77,20,36314,0.0
508,4,5,71,12,36314,0.0
509,5,4,63,14,36314,0.0
510,1,4,70,25,37292,0.0
511,2,3,77,23,37292,0.0
512,3,4,69,15,37292,0.0
513,4,5,73,17,37292,0.0
514,5,4,64,21,37292,0.0
515,1,5,71,14,37294,0.0
516,2,5,70,20,37294,1.0
517,3,5,65,15,37294,1.0
518,4,5,68,22,37294,1.0
519,5,5,73,15,37294,1.0
520,1,6,75,20,37784,0.0
521,2,5,77,29,37784,1.0
522,3,5,71,13,37784,1.0
523,4,5,75,26,37784,1.0
524,5,5,78,19,37784,1.0
525,1,5,84,20,37798,0.0
526,2,3,73,18,37798,0.0
527,3,2,69,14,37798,0.0
528,4,5,96,23,37798,0.0
529,5,4,74,24,37798,0.0
530,1,3,70,9,37804,0.0
531,2,5,74,26,37804,1.0
532,3,4,66,30,37804,1.0
533,4,5,66,23,37804,1.0
534,5,5,55,18,37804,1.0
535,1,4,80,24,37812,0.0
536,2,5,73,26,37812,0.0
537,3,5,69,21,37812,0.0
538,4,3,63,16,37812,0.0
539,5,4,64,20,37812,0.0
540,1,5,78,25,37828,0.0
541,2,4,84,28,37828,0.0
542,3,5,96,23,37828,0.0
543,4,6,99,26,37828,0.0
544,5,7,82,22,37828,0.0
545,1,2,61,21,38018,0.0
546,2,6,74,12,38018,1.0
547,3,4,64,15,38018,1.0
548,4,4,57,8,38018,1.0
549,5,6,63,22,38018,1.0
550,1,2,52,8,38028,0.0
551,2,4,63,14,38028,1.0
552,3,5,63,6,38028,1.0
553,4,4,70,8,38028,1.0
554,5,3,46,12,38028,1.0
555,1,4,82,26,38038,0.0
556,2,6,80,24,38038,1.0
557,3,6,83,24,38038,1.0
558,4,6,76,25,38038,1.0
559,5,5,77,20,38038,1.0
560,1,5,80,28,38040,0.0
561,2,5,81,24,38040,1.0
562,3,6,95,29,38040,1.0
563,4,6,82,30,38040,1.0
564,5,5,80,22,38040,1.0
565,1,5,81,26,38042,0.0
566,2,4,59,22,38042,1.0
567,3,6,74,30,38042,1.0
568,4,3,75,28,38042,1.0
569,5,6,77,27,38042,1.0
570,1,3,76,19,38046,0.0
571,2,5,72,32,38046,0.0
572,3,5,72,31,38046,0.0
573,4,4,78,28,38046,0.0
574,5,2,69,27,38046,0.0
575,1,4,75,22,38070,0.0
576,2,6,85,26,38070,1.0
577,3,5,81,22,38070,1.0
578,4,5,77,28,38070,1.0
579,5,5,87,28,38070,1.0
580,1,5,70,24,38290,0.0
581,2,5,60,22,38290,1.0
582,3,4,62,22,38290,1.0
583,4,4,66,23,38290,1.0
584,5,3,63,20,38290,1.0
585,1,5,74,29,38566,0.0
586,2,5,76,26,38566,1.0
587,3,6,82,26,38566,1.0
588,4,5,72,24,38566,1.0
589,5,6,79,25,38566,1.0
590,1,3,53,27,38580,0.0
591,2,2,80,22,38580,1.0
592,3,4,60,21,38580,1.0
593,4,5,60,29,38580,1.0
594,5,1,58,16,38580,1.0
595,1,4,63,13,38712,0.0
596,2,4,62,15,38712,1.0
597,3,4,51,10,38712,1.0
598,4,4,43,6,38712,1.0
599,5,5,57,23,38712,1.0
600,1,5,74,28,38878,0.0
601,2,5,75,23,38878,1.0
602,3,5,67,18,38878,1.0
603,4,5,74,23,38878,1.0
604,5,5,67,15,38878,1.0
605,1,5,74,30,38898,0.0
606,2,6,72,28,38898,1.0
607,3,5,74,29,38898,1.0
608,4,5,61,28,38898,1.0
609,5,5,66,31,38898,1.0
610,1,7,100,22,39096,0.0
611,2,7,74,20,39096,1.0
612,3,7,100,22,39096,1.0
613,4,5,61,22,39096,1.0
614,5,3,64,23,39096,1.0
615,1,5,75,16,39144,0.0
616,2,5,74,14,39144,0.0
617,3,4,66,24,39144,0.0
618,4,2,56,13,39144,0.0
619,5,3,54,16,39144,0.0
620,1,3,63,11,39164,0.0
621,2,6,72,17,39164,0.0
622,3,4,72,10,39164,0.0
623,4,3,45,4,39164,0.0
624,5,5,58,11,39164,0.0
625,1,5,72,3,39458,0.0
626,2,3,56,4,39458,0.0
627,3,4,50,5,39458,0.0
628,4,5,57,3,39458,0.0
629,5,4,55,2,39458,0.0
630,1,3,63,14,39466,0.0
631,2,2,47,15,39466,0.0
632,3,4,59,18,39466,0.0
633,4,3,69,13,39466,0.0
634,5,4,64,13,39466,0.0
635,1,5,76,11,39490,0.0
636,2,6,80,21,39490,0.0
637,3,4,60,22,39490,0.0
638,4,4,60,20,39490,0.0
639,5,4,60,20,39490,0.0
640,1,6,80,30,39512,0.0
641,2,7,100,35,39512,1.0
642,3,7,100,38,39512,1.0
643,4,7,100,34,39512,1.0
644,5,7,100,34,39512,1.0
645,1,5,74,27,39548,0.0
646,2,5,75,25,39548,1.0
647,3,3,77,26,39548,1.0
648,4,7,80,29,39548,1.0
649,5,2,79,28,39548,1.0
650,1,7,80,21,39634,0.0
651,2,7,81,31,39634,1.0
652,3,5,81,29,39634,1.0
653,4,5,79,27,39634,1.0
654,5,6,77,29,39634,1.0
655,1,4,73,11,39748,0.0
656,2,5,70,14,39748,0.0
657,3,5,66,12,39748,0.0
658,4,5,63,10,39748,0.0
659,5,4,60,8,39748,0.0
660,1,4,54,12,39990,0.0
661,2,5,68,16,39990,1.0
662,3,5,53,6,39990,1.0
663,4,5,67,8,39990,1.0
664,5,5,65,8,39990,1.0
665,1,3,66,15,40162,0.0
666,2,3,46,10,40162,0.0
667,3,3,52,9,40162,0.0
668,4,4,51,7,40162,0.0
669,5,3,49,6,40162,0.0
670,1,1,54,10,40164,0.0
671,2,1,45,4,40164,1.0
672,3,3,51,12,40164,1.0
673,4,1,100,22,40164,1.0
674,5,4,44,12,40164,1.0
675,1,5,71,24,40316,0.0
676,2,6,81,26,40316,1.0
677,3,6,74,24,40316,1.0
678,4,2,71,23,40316,1.0
679,5,5,72,25,40316,1.0
680,1,4,79,26,40320,0.0
681,2,5,73,28,40320,1.0
682,3,4,76,25,40320,1.0
683,4,5,77,28,40320,1.0
684,5,5,71,22,40320,1.0
685,1,5,70,12,40322,0.0
686,2,5,65,21,40322,1.0
687,3,4,61,12,40322,1.0
688,4,4,66,10,40322,1.0
689,5,3,50,6,40322,1.0
690,1,2,67,20,40328,0.0
691,2,6,70,24,40328,1.0
692,3,5,84,20,40328,1.0
693,4,5,81,19,40328,1.0
694,5,5,86,22,40328,1.0
695,1,6,83,34,40444,0.0
696,2,6,79,25,40444,1.0
697,3,3,79,29,40444,1.0
698,4,3,60,20,40444,1.0
699,5,4,60,20,40444,1.0
700,1,5,69,25,40456,0.0
701,2,4,79,13,40456,0.0
702,3,4,62,10,40456,0.0
703,4,4,61,15,40456,0.0
704,5,5,66,14,40456,0.0
705,1,5,52,9,40472,0.0
