,surveyno,satisfaction,general,life,personid,expgroup_treatment
818,4,4,60,11,44282,0.0
819,5,4,63,10,44282,0.0
820,1,5,80,28,44408,0.0
821,2,5,72,28,44408,1.0
822,3,5,75,34,44408,1.0
823,4,5,67,24,44408,1.0
824,5,5,64,30,44408,1.0
825,1,6,91,28,44782,0.0
826,2,6,77,16,44782,1.0
827,3,5,77,18,44782,1.0
828,4,3,65,9,44782,1.0
829,5,5,78,27,44782,1.0
830,1,4,83,10,44784,0.0
831,2,4,64,15,44784,1.0
832,3,5,64,16,44784,1.0
833,4,6,60,18,44784,1.0
834,5,4,68,18,44784,1.0
835,1,3,66,18,44800,0.0
836,2,5,71,18,44800,0.0
837,3,5,85,24,44800,0.0
838,4,5,75,26,44800,0.0
839,5,3,60,20,44800,0.0
840,1,5,72,23,45238,0.0
841,2,5,64,28,45238,1.0
842,3,6,75,28,45238,1.0
843,4,6,79,31,45238,1.0
844,5,6,74,27,45238,1.0
845,1,3,91,24,45254,0.0
846,2,6,94,26,45254,0.0
847,3,5,79,22,45254,0.0
848,4,4,74,18,45254,0.0
849,5,4,71,14,45254,0.0
850,1,5,83,16,45442,0.0
851,2,5,68,9,45442,0.0
852,3,1,49,11,45442,0.0
853,4,3,61,11,45442,0.0
854,5,5,72,13,45442,0.0
