Food Product,UnitofMeasure,Conversion Multiplier,Base Unit
Oil (palm) - Retail,20 L,0.0445,KG
Oil (palm) - Retail,1.5 L,0.5933,KG
Oil (palm) - Retail,Gallon,0.2431,KG
Oil (soybean) - Retail,L,0.917,KG
Oil (soybean) - Retail,KG,1,KG
Oil (sunflower) - Retail,KG,1,KG
Oil (sunflower) - Retail,L,0.9188,KG
Oil (sunflower) - Retail,5 L,0.1838,KG
Oil (sunflower) - Retail,750 ML,1.2251,KG
Oil (sunflower) - Wholesale,L,0.9188,KG
Oil (sunflower) - Wholesale,KG,1,KG
Oil (vegetable) - Retail,L,0.92,KG
Oil (vegetable) - Retail,KG,1,KG
Oil (vegetable) - Retail,5 L,0.184,KG
Oil (vegetable) - Retail,750 ML,1.2267,KG
Oil (vegetable) - Retail,1.8 L,0.5111,KG
Oil (vegetable) - Wholesale,5 L,0.184,KG
Oil (vegetable) - Wholesale,L,0.92,KG
"Oil (vegetable, imported) - Retail",L,1,KG
"Oil (vegetable, imported) - Retail",Gallon,0.243,KG
Onions - Retail,KG,1,KG
Onions - Retail,Pound,0.4536,KG
Onions - Wholesale,90 KG,0.0111,KG
Onions - Wholesale,100 KG,0.01,KG
Onions - Wholesale,73 KG,0.0137,KG
Onions (white) - Wholesale,KG,1,KG
Onions (white) - Wholesale,50 pcs,0.1818,KG
Pasta - Retail,500 G,2,KG
Pasta - Retail,KG,1,KG
Pasta - Retail,Pound,0.4536,KG
Pasta - Retail,350 G,2.8571,KG
Pasta - Retail,300 G,3.3333,KG
Pasta (spaghetti) - Retail,Packet,,
Pasta (spaghetti) - Retail,KG,1,KG
Pasta (spaghetti) - Retail,Unit,,
Peas - Retail,100 KG,0.01,KG
Peas - Retail,KG,1,KG
"Peas (split, dry) - Retail",KG,1,KG
"Peas (split, dry) - Retail",100 KG,0.01,KG
"Peas (split, dry) - Retail",500 G,2,KG
Peppers (fresh) - Retail,KG,1,KG
Peppers (fresh) - Retail,2.25 KG,0.4444,KG
Peppers (fresh) - Wholesale,KG,1,KG
Peppers (fresh) - Wholesale,20 KG,0.05,KG
Plantains - Retail,KG,1,KG
Plantains - Retail,12 KG,0.0833,KG
Plantains - Retail,Pound,0.4536,KG
Plantains - Wholesale,KG,1,KG
Plantains - Wholesale,100 pcs,,
Potatoes - Retail,KG,1,KG
Potatoes - Retail,Pound,0.4536,KG
Potatoes - Wholesale,KG,1,KG
Potatoes - Wholesale,100 Pounds,0.0045,KG
Potatoes (Dutch) - Retail,11.5 KG,0.087,KG
Potatoes (Dutch) - Retail,Cuartilla,,
Potatoes (Dutch) - Retail,Pound,0.4536,KG
"Potatoes (Irish, imilla) - Retail",KG,1,KG
"Potatoes (Irish, imilla) - Retail",11.5 KG,0.087,KG
"Potatoes (Irish, imilla) - Retail",Cuartilla,,
"Potatoes (Irish, imilla) - Retail",Libra,0.4536,KG
"Potatoes (Irish, imilla) - Retail",Pound,0.4536,KG
Rice - Retail,KG,1,KG
Rice - Retail,Libra,0.4536,KG
Rice - Retail,5 KG,0.2,KG
Rice - Retail,500 G,2,KG
Rice - Wholesale,100 KG,0.01,KG
Rice - Wholesale,KG,1,KG
Rice - Wholesale,50 KG,0.02,KG
Rice - Wholesale,Libra,0.4536,KG
Rice - Wholesale,45 KG,0.0222,KG
Rice - Wholesale,46 KG,0.0217,KG
Rice (carolina 2da) - Retail,KG,1,KG
Rice (carolina 2da) - Retail,Cuartilla,,
Rice (carolina 2da) - Retail,Pound,0.4536,KG
Rice (estaquilla) - Retail,KG,1,KG
Rice (estaquilla) - Retail,Cuartilla,,
Rice (estaquilla) - Retail,Pound,0.4536,KG
Rice (good quality) - Retail,Cuartilla,,
Rice (good quality) - Retail,KG,1,KG
Rice (good quality) - Retail,Pound,0.4536,KG
Rice (high quality) - Wholesale,KG,1,KG
Rice (high quality) - Wholesale,Libra,0.4536,KG
Rice (imported) - Retail,KG,1,KG
Rice (imported) - Retail,Marmite,0.2589,KG
Rice (imported) - Retail,Pound,0.4536,KG
Rice (imported) - Retail,50 KG,0.02,KG
Rice (imported) - Wholesale,KG,1,KG
Rice (imported) - Wholesale,100 KG,0.01,KG
Rice (imported) - Wholesale,50 KG,0.02,KG
Rice (local) - Retail,KG,1,KG
Rice (local) - Retail,50 KG,0.02,KG
Rice (local) - Retail,Marmite,0.2589,KG
Rice (local) - Retail,Pound,0.4536,KG
Rice (local) - Wholesale,90 KG,0.0111,KG
Rice (local) - Wholesale,120 KG,0.0083,KG
Rice (local) - Wholesale,50 KG,0.02,KG
Rice (local) - Wholesale,100 KG,0.01,KG
"Rice (long grain, imported) - Retail",KG,1,KG
"Rice (long grain, imported) - Retail",50 KG,0.02,KG
"Rice (ordinary, first quality) - Retail",Libra,0.4536,KG
"Rice (ordinary, first quality) - Retail",KG,1,KG
"Rice (ordinary, first quality) - Wholesale",46 KG,0.0217,KG
"Rice (ordinary, first quality) - Wholesale",KG,1,KG
"Rice (ordinary, first quality) - Wholesale",45 KG,0.0222,KG
"Rice (ordinary, first quality) - Wholesale",100 Pounds,0.0045,KG
"Rice (ordinary, second quality) - Retail",Libra,0.4536,KG
"Rice (ordinary, second quality) - Retail",Pound,0.4536,KG
"Rice (ordinary, second quality) - Retail",KG,1,KG
"Rice (ordinary, second quality) - Wholesale",46 KG,0.0217,KG
"Rice (ordinary, second quality) - Wholesale",KG,1,KG
"Rice (ordinary, second quality) - Wholesale",45 KG,0.0222,KG
"Rice (ordinary, second quality) - Wholesale",100 Pounds,0.0045,KG
Rice (paddy) - Wholesale,MT,0.001,KG
Rice (paddy) - Wholesale,84 KG,0.0119,KG
"Rice (small grain, imported) - Retail",KG,1,KG
"Rice (small grain, imported) - Retail",50 KG,0.02,KG
Rice (white) - Wholesale,MT,0.001,KG
Rice (white) - Wholesale,KG,1,KG
"Rice (white, imported) - Retail",KG,1,KG
"Rice (white, imported) - Retail",50 KG,0.02,KG
Salt - Retail,KG,1,KG
Salt - Retail,115 G,8.6957,KG
Salt - Retail,200 G,5,KG
Salt (iodised) - Retail,KG,1,KG
Salt (iodised) - Retail,750 G,1.3333,KG
Sesame - Retail,KG,1,KG
Sesame - Retail,100 KG,0.01,KG
Sesame - Wholesale,90 KG,0.0111,KG
Sesame - Wholesale,100 KG,0.01,KG
Sorghum - Retail,KG,1,KG
Sorghum - Retail,Libra,0.4536,KG
Sorghum - Retail,100 KG,0.01,KG
Sorghum - Retail,Marmite,0.2589,KG
Sorghum - Retail,Pound,0.4536,KG
Sorghum - Wholesale,KG,1,KG
Sorghum - Wholesale,46 KG,0.0217,KG
Sorghum - Wholesale,100 KG,0.01,KG
Sorghum - Wholesale,109 KG,0.0092,KG
Sorghum - Wholesale,90 KG,0.0111,KG
Sorghum (red) - Retail,KG,1,KG
Sorghum (red) - Retail,100 KG,0.01,KG
Sorghum (red) - Wholesale,90 KG,0.0111,KG
Sorghum (red) - Wholesale,100 KG,0.01,KG
Sorghum (white) - Retail,KG,1,KG
Sorghum (white) - Retail,100 KG,0.01,KG
Sorghum (white) - Wholesale,90 KG,0.0111,KG
Sorghum (white) - Wholesale,100 KG,0.01,KG
Sorghum (white) - Wholesale,MT,0.001,KG
Soybeans - Wholesale,KG,1,KG
Soybeans - Wholesale,90 KG,0.0111,KG
Soybeans - Wholesale,109 KG,0.0092,KG
Sugar - Retail,KG,1,KG
Sugar - Retail,Libra,0.4536,KG
Sugar - Retail,Pound,0.4536,KG
Sugar - Wholesale,100 KG,0.01,KG
Sugar - Wholesale,KG,1,KG
Sugar (white) - Retail,900 G,1.1111,KG
Sugar (white) - Retail,KG,1,KG
Sugar (white) - Retail,Marmite,0.2589,KG
Tea - Retail,KG,1,KG
Tea - Retail,Unit,,
Tea (black) - Retail,KG,1,KG
Tea (black) - Retail,250 G,4,KG
Tea (green) - Retail,Unit,,
Tea (green) - Retail,KG,1,KG
Tea (green) - Retail,250 G,4,KG
Tomatoes - Retail,KG,1,KG
Tomatoes - Retail,Pound,0.4536,KG
Tomatoes - Wholesale,KG,1,KG
Tomatoes - Wholesale,50 Pounds,0.0091,KG
Tomatoes (local) - Wholesale,KG,1,KG
Tomatoes (local) - Wholesale,52 KG,0.0192,KG
Tomatoes (paste) - Retail,KG,1,KG
Tomatoes (paste) - Retail,70 G,14.2857,KG
Tomatoes (paste) - Retail,1.3 KG,0.7692,KG
Tomatoes (paste) - Retail,400 G,2.5,KG
Wheat - Retail,KG,1,KG
Wheat - Retail,100 KG,0.01,KG
Wheat - Wholesale,KG,1,KG
Wheat - Wholesale,100 KG,0.01,KG
Wheat (food aid) - Retail,KG,1,KG
Wheat (food aid) - Retail,100 KG,0.01,KG
Wheat (white) - Retail,KG,1,KG
Wheat (white) - Retail,100 KG,0.01,KG
Wheat flour - Retail,KG,1,KG
Wheat flour - Retail,100 KG,0.01,KG
Wheat flour - Retail,50 KG,0.02,KG
Wheat flour - Retail,1.5 KG,0.6667,KG
Wheat flour - Retail,12.5 KG,0.08,KG
Wheat flour - Wholesale,KG,1,KG
Wheat flour - Wholesale,100 KG,0.01,KG
Wheat flour - Wholesale,50 KG,0.02,KG
Wheat flour - Wholesale,50 Pounds,0.0441,KG
Wheat flour (imported) - Retail,KG,1,KG
Wheat flour (imported) - Retail,Marmite,0.2589,KG
Wheat flour (local) - Wholesale,46 KG,0.0217,KG
Wheat flour (local) - Wholesale,KG,1,KG
Yam - Wholesale,KG,1,KG
Yam - Wholesale,250 KG,0.004,KG
Yam - Wholesale,100 Tubers,,
